Comment,Designator,Footprint,LCSC Part #
22uF/10V(20%) Unpolarized capacitor,"C1,C2,C7",C_0603_1608Metric,
4.7uF/6.3V(10%) Unpolarized capacitor,C3,C_0402_1005Metric,
0.1uF/50V(10%)(NC) Unpolarized capacitor,"C4,C9",C_0402_1005Metric,
0.1uF/50V(10%) Unpolarized capacitor,"C5,C6,C8",C_0402_1005Metric,
LED Light emitting diode,"D1,D6",LED_0603_1608Metric,
LESD5D5.0CT1G Transient Voltage Suppressors for ESD Protection,"D2,D3,D4",LESD5D50CT1G,
"BAT760-7 Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323",D5,SOD2513X120N,
"AMS1117-3.3 1A LOW DROPOUT VOLTAGE REGULATOR, SOT-223",IC1,SOT229P700X180-4N,
"CP2102N-A01-GQFN28 SILICON LABS - CP2102N-A01-GQFN28 - USB-UART INTERFACE BRIDGE, QFN-28",IC2,QFN50P500X500X80-29N-D,
USB_B_Micro USB Micro Type B connector,J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,
"Conn_01x19_Male Generic connector, single row, 01x19, script generated (kicad-library-utils/schlib/autogen/connector/)","J2,J3",PinHeader_1x19_P2.54mm_Vertical,
SS8050-G Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V,"Q1,Q2",SOT95P240X115-3N,
2k(5%) Resistor,"R1,R9,R11",R_0402_1005Metric,
0R(5%) Resistor,"R2,R3",R_0402_1005Metric,
10k(5%) Resistor,"R4,R5",R_0402_1005Metric,
22.1K(5%) Resistor,R6,R_0402_1005Metric,
10k(5%)(NC) Resistor,"R7,R10",R_0402_1005Metric,
47.5k(5%) Resistor,R8,R_0402_1005Metric,
"SW_Push Push button switch, generic, two pins","SW1,SW2",SW_SPST_B3U-1000P,
"ESP32-WROOM-32D RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",U1,ESP32-WROOM-32,
