Designator,Mid X,Mid Y,Layer,Rotation
C1,111.887000mm,-53.099000mm,Top,270
C2,110.998000mm,-60.071000mm,Top,180
C3,110.518000mm,-56.896000mm,Top,180
C4,122.936000mm,-72.898000mm,Top,270
C5,110.490000mm,-55.753000mm,Top,180
C6,117.094000mm,-59.817000mm,Top,0
C7,111.887000mm,-49.670000mm,Top,90
C8,110.490000mm,-58.039000mm,Top,180
C9,112.776000mm,-72.926000mm,Top,270
D1,110.109000mm,-53.111500mm,Top,90
D2,120.269000mm,-70.993000mm,Top,90
D3,117.602000mm,-70.993000mm,Top,90
D4,114.935000mm,-70.993000mm,Top,90
D5,111.633000mm,-70.485000mm,Top,0
D6,119.761000mm,-60.553500mm,Top,270
IC1,117.157500mm,-51.625500mm,Top,0
IC2,117.602000mm,-66.040000mm,Top,270
J1,117.602000mm,-76.581000mm,Top,0
Q1,125.349000mm,-54.864000mm,Top,90
Q2,125.349000mm,-60.960000mm,Top,270
R1,110.363000mm,-49.782000mm,Top,270
R2,122.428000mm,-67.691000mm,Top,270
R3,123.571000mm,-67.693000mm,Top,270
R4,124.206000mm,-64.264000mm,Top,270
R5,121.793000mm,-59.309000mm,Top,90
R6,112.397000mm,-65.405000mm,Top,0
R7,114.425000mm,-59.817000mm,Top,180
R8,112.393000mm,-64.262000mm,Top,0
R9,112.395000mm,-66.675000mm,Top,0
R10,112.397000mm,-68.072000mm,Top,0
R11,122.428000mm,-64.264000mm,Top,270
SW1,124.841000mm,-76.581000mm,Top,90
SW2,110.617000mm,-76.708000mm,Top,90
U1,116.713000mm,-36.449000mm,Top,0
